epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,505.625,0.99716,3.93056,1.11031,0.91495,0.13863,0.27312,0.23472,0.62485,3.66532,0.89322,0.000164583,0.000164583,0.000164583
2,1011.39,0.98987,2.94765,1.07643,0.59978,0.39646,0.45266,0.3647,0.64981,3.04883,0.89807,0.000324691,0.000324691,0.000324691
3,1521.26,0.95346,2.47948,1.0564,0.62926,0.61567,0.66684,0.5217,0.72594,2.4485,0.90137,0.000478199,0.000478199,0.000478199
4,2034.3,0.9265,2.18965,1.04624,0.72394,0.77398,0.80172,0.6826,0.59918,1.67659,0.88074,0.0004703,0.0004703,0.0004703
5,2553.7,0.90868,1.9096,1.0428,0.66742,0.76777,0.75221,0.64368,0.59823,1.87042,0.86949,0.0004604,0.0004604,0.0004604
6,3078.62,0.82995,1.74008,1.01606,0.83849,0.7369,0.85498,0.75598,0.55482,1.60311,0.87534,0.0004505,0.0004505,0.0004505
7,3602.31,0.80555,1.6167,1.0018,0.71126,0.83449,0.85184,0.75557,0.52787,1.45011,0.87704,0.0004406,0.0004406,0.0004406
8,4113.01,0.79026,1.4903,1.00682,0.88195,0.83185,0.88289,0.77822,0.52082,1.20266,0.86605,0.0004307,0.0004307,0.0004307
9,4641.73,0.75197,1.41956,1.00496,0.87819,0.87791,0.90248,0.81903,0.47919,1.1254,0.85417,0.0004208,0.0004208,0.0004208
10,5157.86,0.72366,1.33198,0.98112,0.85645,0.88565,0.9208,0.81504,0.50148,1.05406,0.87071,0.0004109,0.0004109,0.0004109
11,5670.12,0.74036,1.29187,0.99627,0.82092,0.90803,0.91939,0.81841,0.4926,0.98817,0.86245,0.000401,0.000401,0.000401
12,6184.86,0.73077,1.21913,0.98975,0.86454,0.92847,0.93993,0.83806,0.48192,0.89812,0.86485,0.0003911,0.0003911,0.0003911
13,7010.26,0.72188,1.19753,0.99002,0.87308,0.82586,0.87525,0.79102,0.46225,1.10227,0.85581,0.0003812,0.0003812,0.0003812
14,7522.84,0.68396,1.10921,0.97713,0.9419,0.91374,0.94066,0.85856,0.43112,0.8016,0.85792,0.0003713,0.0003713,0.0003713
15,8041.84,0.66763,1.09636,0.97017,0.91911,0.90007,0.9365,0.85821,0.43978,0.81011,0.86504,0.0003614,0.0003614,0.0003614
16,8557.39,0.65992,1.01832,0.9711,0.9418,0.92255,0.94288,0.85784,0.42844,0.7504,0.84672,0.0003515,0.0003515,0.0003515
17,9074.89,0.65413,0.9893,0.96604,0.93254,0.93856,0.95059,0.87484,0.40759,0.69528,0.8485,0.0003416,0.0003416,0.0003416
18,9598.04,0.64991,0.95084,0.95962,0.95283,0.93178,0.94928,0.85614,0.42739,0.68794,0.84909,0.0003317,0.0003317,0.0003317
19,10107.1,0.61762,0.92057,0.94724,0.95815,0.94849,0.94857,0.86971,0.39908,0.62695,0.84433,0.0003218,0.0003218,0.0003218
20,10623.1,0.62248,0.91606,0.95845,0.78994,0.86325,0.89164,0.80918,0.43517,0.98839,0.85772,0.0003119,0.0003119,0.0003119
21,11143.4,0.62403,0.89892,0.9456,0.93871,0.94636,0.95219,0.87988,0.40339,0.61064,0.84714,0.000302,0.000302,0.000302
22,11653.5,0.62513,0.89211,0.95425,0.94994,0.92826,0.94338,0.8682,0.39504,0.62467,0.84674,0.0002921,0.0002921,0.0002921
23,12140,0.59481,0.85237,0.9468,0.91656,0.91866,0.94644,0.86956,0.39759,0.66067,0.84455,0.0002822,0.0002822,0.0002822
